Valid Remaining Qty,SO Created Date,Material,Old material number,Name,Item category group,Overall CreditStatus,Sales document,Sales Document Item,Schedule line number,Production scheduler,Remaining Quantity,Unrestricted On-hand Qty,Remaining Net Value,ATP Confirm Date,Requested (First) Date,MRP Controller (Materials Planner),Kanban Armature,Field Shima Shell,Magnet Shima Shell,Casting,Casting 2,RYG,Comments,Customer Expedite/late delivery explanation
+,3/17/2021,30179182,5300-541-001,SARR INDUSTRIES INC,NORM,A,2159107,30,1,683,1,null,118.43,3/31/2021,3/31/2021,ID3,null,null,null,null,null,Y,WO# 11241156 20 PCS @ 683/634,"3/17 Teams
Ship complete"
+,3/17/2021,30179192,5300-631-005,SARR INDUSTRIES INC,NORM,A,2159107,10,1,633,2,1,235.5,3/31/2021,3/31/2021,ID3,null,null,null,null,null,P,Need 5300-800-007 PO 107 PCS Due 4/20,"3/17 Teams
Ship complete"
+,3/17/2021,30179195,5300-631-011,SARR INDUSTRIES INC,NORM,A,2159107,20,1,633,1,1,139.23,3/31/2021,3/31/2021,ID3,null,null,null,null,null,G,"Ship complete, need line 10,30","3/17 Teams
Ship complete"
+,3/30/2021,30179195,5300-631-011,MOTION INDUSTRIES INC,NORM,A,2165385,20,2,633,7,7,1755.95,4/8/2021,3/31/2021,ID3,null,null,null,null,null,G,Shipper printed 4/19,null
+,3/30/2021,30188172,5131-273-011,MOTION INDUSTRIES INC,NORM,A,2165385,70,2,684,3,null,4279.14,4/28/2021,3/31/2021,IDF,null,null,null,null,null,K,Kanban @ 684,null
+,3/24/2021,30188228,5154-170-001,BDI,NORM,A,2162811,10,1,170,1,null,738.25,3/31/2021,3/31/2021,ID4,null,null,null,null,null,Y,WO# 11276934 4 PCS,4/14 Teams
+,3/26/2021,30188228,5154-170-001,APPLIED MEXICO SA DE CV,NORM,A,2163867,10,2,170,1,null,738.25,4/5/2021,3/31/2021,ID4,null,null,null,null,null,P,Need 5154-445-003 50PCS @ QC,null
+,3/24/2021,30188245,5154-541-009,BDI,NORM,A,2162811,20,1,170,1,1,74.96,3/31/2021,3/31/2021,ID4,null,null,null,null,null,G,"Ship complete, need line 10",null
+,3/25/2021,30188912,5281-271-021,WARNER ELECTRIC EUROPE,NORM,A,2163108,30,2,682,30,null,17421.3,5/7/2021,3/31/2021,ID3,null,null,null,null,null,R,"Need 5281-451-004 wo# 11296498 9 PCS @ 633-/-5281-800-002 wo# 11296501 50 PCS @ 635/687/633/braze/635/687
Need 5281-751-001 - kanban @ 202/300",null
+,3/17/2021,30188980,5300-541-014,SARR INDUSTRIES INC,NORM,A,2159107,40,1,202,1,1,57.7,3/31/2021,3/31/2021,ID3,null,null,null,null,null,G,"Ship complete, need line 10,30","3/17 Teams
Ship complete"
+,3/31/2021,30189289,5370-169-225,QUEEN CITY SUPPLY CO,NORM,A,2166120,40,2,681,1,null,477.44,4/29/2021,3/31/2021,ID4,110-0331,None,"800-0375
5370-631-204",258-1225,None,Y,WO# 11296504 1 PC,null
+,3/30/2021,30189403,5370-273-209,DXP ENTERPRISES INC,NORM,A,2165711,10,2,681,1,null,1037.62,4/7/2021,3/31/2021,IDG,110-0332,None,"800-0376
5370-631-219",258-1223,258-1225,K,Kanban @ 681,4/16 Teams
+,3/29/2021,30189412,5370-273-229,SERMI INC,NORM,A,2165077,80,2,681,2,null,2328.12,4/23/2021,3/31/2021,IDG,110-0332,"800-0374
5370-451-219","800-0376
5370-631-219",258-1224,258-1225,K,Kanban @ 681,null
+,3/22/2021,30189457,5370-451-008,MOTION MEXICO S DE RL DE CV,NORM,D,2160920,10,2,633,2,null,318.76,4/6/2021,3/31/2021,IDG,None,None,None,None,None,K,Kanban @ 635,3/29 Teams
+,3/22/2021,30189494,5370-631-003,MOTION MEXICO S DE RL DE CV,NORM,D,2160920,20,2,633,2,null,427.12,4/7/2021,3/31/2021,IDG,None,None,None,None,None,K,Kanban @ 635,3/29 Teams
+,3/31/2021,30189666,5371-273-008,SERMI INC,NORM,A,2166378,10,2,681,1,null,2097.58,4/9/2021,3/31/2021,ID4,110-0333,None,None,None,None,R,"WO# 11296438 1 PC
Need 798-0123 wo# 11240842 5 PCS @ 686",null
+,3/25/2021,30192138,798-0020,WARNER ELECTRIC EUROPE,NORM,A,2163108,60,1,686,1,1,87.13,3/31/2021,3/31/2021,ID4,null,null,null,null,null,G,Shipper printed 4/14,4/13 Teams
+,4/1/2021,30178747,180-0008,MOTION INDUSTRIES INC,NORM,A,2167148,11,2,null,3,2,105.18,5/14/2021,4/1/2021,ID9,null,null,null,null,null,P,PO 4500820374  2 pcs due 4/13          Bearing Hdqt,null
+,3/23/2021,30179034,5104-101-003,BDI,NORM,A,2162096,12,2,600,7,7,48.65,5/5/2021,4/1/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14",null
+,3/23/2021,30179046,5104-452-060,BDI,NORM,A,2162096,14,2,682,7,5,1654.59,5/5/2021,4/1/2021,ID3,null,null,null,null,null,R,Need 5104-751-045 wo# 11288192 40 PCS @ 855/300,null
+,3/23/2021,30179071,5125-111-001,BDI,NORM,A,2162096,13,2,634,7,7,405.3,5/5/2021,4/1/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14",null
+,3/23/2021,30179074,5125-541-004,BDI,NORM,A,2162096,11,2,634,7,7,451.85,5/5/2021,4/1/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14",null
+,4/1/2021,30179075,5181-101-010,MOTION INDUSTRIES INC,NORM,A,2167148,13,2,600,12,12,119.76,5/14/2021,4/1/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 11/14",null
+,4/1/2021,30179077,5200-101-010,MOTION INDUSTRIES INC,NORM,A,2167148,16,2,600,3,3,123.12,5/14/2021,4/1/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 11/14",null
+,4/1/2021,30179137,5207-101-003,MOTION INDUSTRIES INC,NORM,A,2167148,15,2,600,3,3,56.34,5/14/2021,4/1/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 11/14",null
+,4/1/2021,30179146,5207-452-004,MOTION INDUSTRIES INC,NORM,A,2167148,14,2,682,3,null,2884.5,5/14/2021,4/1/2021,ID3,null,null,null,null,null,R,"Need 540-0614 wo# 11296583 10 PCS @ 683
Need 5281-751-001 - kanban @ 300
Need 5281-451-005-/-5281-800-002 wo# 11296501 50 PCS @ 635/687/633/braze/635/687",null
+,4/1/2021,30179176,5281-111-002,MOTION INDUSTRIES INC,NORM,A,2167148,12,2,634,3,3,314.97,5/14/2021,4/1/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 11/14",null
+,3/31/2021,30179181,5300-178-001,MOTION INDUSTRIES INC,NORM,A,2166546,10,2,685,4,null,385.04,4/8/2021,4/1/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,4/12 Teams
+,3/31/2021,30179182,5300-541-001,KAMAN INDUSTRIAL TECH,NORM,A,2166729,10,2,683,1,null,276.57,4/15/2021,4/1/2021,ID3,null,null,null,null,null,Y,WO# 11241156 20 PCS @ 683/634,null
+,3/31/2021,30179182,5300-541-001,MOTION INDUSTRIES INC,NORM,A,2166387,10,2,683,1,null,276.57,4/15/2021,4/1/2021,ID3,null,null,null,null,null,Y,WO# 11241156 20 PCS @ 683/634,null
+,3/3/2021,30188046,5104-111-033,WAGNER SPRAY TECH CORP,NORM,A,2151131,10,1,685,120,null,12061.2,4/1/2021,4/1/2021,ID3,null,null,null,null,null,R,Need 5104-111-032-/-110-2054 wo# 11266576 120 PCS @ 475/heat treat/606/683/475,null
+,12/22/2020,30188616,5202-17,MOTION INDUSTRIES INC,NORM,A,2117668,70,2,684,175,null,57288,5/5/2021,4/1/2021,ID3,null,null,null,null,null,"P
R","Need 5202-451-051 PO 175 PCS Due 3/10(3/31)(4/20)  CC - missing component 800-1030
Need 5202-111-007 wo# 11284757 30 PCS @ 634",null
+,2/10/2021,30189345,5370-170-225,MITEK USA,NORM,A,2140589,10,1,681,8,6,8211.2,4/1/2021,4/1/2021,ID4,None,None,None,None,None,Y,WO# 11239098 2 PCS,"4/19 Teams
4/12: Orders given to Seth to pull
4/15: Kitted short 5370-954-002 & 798-0318"
+,3/31/2021,30189369,5370-270-219,KAMAN INDUSTRIAL TECH,NORM,A,2166727,10,2,681,1,null,455.47,4/15/2021,4/1/2021,ID4,None,None,None,258-1224,None,Y,WO# 11296590 1 PC,null
+,3/26/2021,30189401,5370-273-204,TRANSMISIONES Y RODAMIENTOS,NORM,A,2163951,10,2,681,2,2,1555.14,4/8/2021,4/1/2021,IDG,110-0331,"800-0371
5370-451-204","800-0375
5370-631-204",258-1225,None,G,Shipper printed 4/14,null
+,2/18/2021,30189418,5370-273-235,RUMSEY ELECTRIC CO,NORM,A,2144858,20,1,681,24,null,19123.44,4/1/2021,4/1/2021,IDG,110-0332,"800-0374
5370-451-219","800-0376
5370-631-219",258-1224,258-1225,K,Kanban @ 681,4/6 Teams
+,4/1/2021,30189423,5370-273-244,APPLIED INDUSTRIAL TECH,NORM,A,2167013,10,2,681,1,null,1062.61,4/16/2021,4/1/2021,ID4,None,None,None,None,None,Y,WO# 11296591 1 PC,null
+,3/19/2021,30189457,5370-451-008,PNEUMATIC SCALE,NORM,A,2160449,20,2,633,18,null,1683.54,4/5/2021,4/1/2021,IDG,None,None,None,None,None,K,Kanban @ 635,4/16 Teams
-,3/19/2021,30189532,5370-751-009,PNEUMATIC SCALE,NORM,A,2160449,30,2,202,2,null,269.06,4/5/2021,4/1/2021,ID4,None,None,None,None,None,Y,WO# 11279815 20 PCS @ 202/300,null
+,3/31/2021,30189623,5371-169-056,BDI,NORM,A,2166721,50,2,681,1,null,1747.59,3/18/2025,4/1/2021,ID4,null,null,null,null,null,R,"WO# 11296593 1 PC
Need 5371-631-021-/-5371-800-011-/-690-0257 wo# 11298541 30 PCS @ 683",null
+,3/1/2021,30189780,5380-170-021,SIGNODE PARTS & SERVICE,NORM,A,2149561,10,2,682,10,null,3729.5,2/14/2025,4/1/2021,ID3,null,null,null,null,null,R,"Need 540-0519 wo# 11265194 40 PCS @ 683/606/BO
Need 5380-111-002-/-5380-295-002 wo# 11261217 40 PCS @ 683/634",null
+,3/31/2021,30189872,5391-170-009,MOTION INDUSTRIES INC,NORM,A,2166562,10,2,682,1,null,981.83,4/6/2021,4/1/2021,ID3,null,null,null,null,null,Y,WO# 11247053 5 PCS @ 682,null
+,4/1/2021,30179181,5300-178-001,MOTION INDUSTRIES INC,NORM,A,2167062,20,2,685,4,null,277.88,4/9/2021,4/2/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,null
+,4/1/2021,30188172,5131-273-011,MOTION INDUSTRIES INC,NORM,A,2167015,60,2,684,1,null,1426.38,4/30/2021,4/2/2021,IDF,null,null,null,null,null,K,Kanban @ 684,null
+,4/1/2021,30188229,5154-170-002,MOTION INDUSTRIES INC,NORM,A,2167015,80,2,170,1,null,738.25,4/9/2021,4/2/2021,ID4,null,null,null,null,null,P,Need 5154-445-003 PO 250 PCS Due 3/26 (4/19)(75 due 4/16),null
+,4/1/2021,30189025,5301-749-001,MOTION INDUSTRIES INC,NORM,A,2167015,70,2,683,1,null,161.18,7/27/2021,4/2/2021,ID3,null,null,null,null,null,Y,WO# 11205890 40 PCS @ Herker due 4/19,null
+,4/1/2021,30189323,5370-169-289,MOTION INDUSTRIES INC,NORM,A,2167062,40,2,681,2,null,1262.14,4/9/2021,4/2/2021,IDG,110-0332,None,None,258-1226,None,K,Kanban @ 681,null
+,4/5/2021,30179075,5181-101-010,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2168130,24,2,600,4,4,47.68,4/20/2021,4/5/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 22/25",null
+,4/5/2021,30179077,5200-101-010,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2168130,27,2,600,1,1,41.04,4/20/2021,4/5/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 22/25",null
+,4/5/2021,30179148,5207-541-002,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2168130,25,2,202,1,null,162.82,4/20/2021,4/5/2021,ID3,null,null,null,null,null,Y,WO# 11273817 10 PCS @ 202/634,null
+,4/5/2021,30179176,5281-111-002,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2168130,23,2,634,1,1,104.99,4/20/2021,4/5/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 22/25",null
+,4/2/2021,30179181,5300-178-001,MOTION INDUSTRIES INC,NORM,A,2167859,20,2,685,1,null,96.26,4/12/2021,4/5/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,null
+,4/1/2021,30179195,5300-631-011,CHICAGO CHAIN & TRANSMISSION,NORM,A,2167267,20,2,633,2,2,662.54,4/8/2021,4/5/2021,ID3,null,null,null,null,null,G,Shipper printed 4/19,null
+,4/1/2021,30179216,5303-541-001,MOTION INDUSTRIES INC,NORM,A,2167434,20,2,683,1,null,591.22,4/16/2021,4/5/2021,ID3,null,null,null,null,null,R,Need 5301-749-001 wo# 11205890 40 PCS @ Herker due 4/19,null
+,4/2/2021,30179216,5303-541-001,MOTION INDUSTRIES INC,NORM,A,2167859,40,2,683,1,null,591.22,4/19/2021,4/5/2021,ID3,null,null,null,null,null,R,Need 5301-749-001 wo# 11205890 40 PCS @ Herker due 4/19,null
+,4/5/2021,30179230,5321-101-002,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2168130,26,2,600,1,1,10.38,4/20/2021,4/5/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 22/25",null
+,4/5/2021,30179255,5369-631-005,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2168130,22,2,633,1,null,355.68,4/20/2021,4/5/2021,ID3,null,null,null,null,null,Y,WO# 11303632 5 PCS @ 633,null
+,4/1/2021,30188022,5103-751-016,MOTION INDUSTRIES INC,NORM,A,2167186,10,2,855,1,null,174.17,4/16/2021,4/5/2021,ID3,null,null,null,null,null,Y,WO# 11256423 40 PCS @ 855/300/BO/300,null
+,4/1/2021,30188157,5130-273-034,BSC INDUSTRIES INC,NORM,A,2167250,20,2,684,2,null,2126.98,4/30/2021,4/5/2021,IDF,null,null,null,null,null,K,Kanban @ 684,null
+,4/5/2021,30188755,5231-273-002,BEARING HEADQUARTERS CO,NORM,A,2168002,10,2,684,1,null,3543.97,4/26/2021,4/5/2021,ID3,null,null,null,null,null,R,Need 535-0005 wo# 11298551 10 PCS @ 202/634,null
+,4/1/2021,30189283,5370-169-213,MOTION INDUSTRIES INC,NORM,A,2167316,10,2,681,1,null,607.07,4/16/2021,4/5/2021,ID4,110-0332,None,"800-0376
5370-631-218",258-1225,None,Y,WO# 11296600 1 PC,null
+,4/1/2021,30189299,5370-169-248,ISC COMPANIES,NORM,A,2166942,10,2,681,1,null,591.67,4/30/2021,4/5/2021,ID4,110-0331,None,None,258-1226,None,Y,WO# 11296601 1 PC,null
+,4/1/2021,30189343,5370-170-217,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2167398,10,2,681,2,null,1209.44,4/16/2021,4/5/2021,IDG,None,None,None,None,None,K,Kanban @ 681,null
+,4/1/2021,30189617,5371-169-032,PURVIS INDUSTRIES LTD,NORM,D,2167211,10,2,681,1,null,1381.45,4/30/2021,4/5/2021,ID4,110-0333,None,None,None,None,R,"WO# 11296603 1 PC
Need 5371-631-013 wo# 11296602 10 PCS @ 635/633","4/12 Order given to Seth to pull
4/15 Kitted short 5371-631-013"
+,4/5/2021,30189885,5392-170-010,MOTION INDUSTRIES INC,NORM,A,2167999,10,2,682,1,null,1724.75,3/20/2025,4/5/2021,ID3,null,null,null,null,null,R,Need 5392-631-009 wo# 11303666 3 PCS @ 633,null
+,4/5/2021,30190472,6001-101-001,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2168130,10,2,600,1,1,19.56,4/20/2021,4/5/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 22/25",null
+,4/6/2021,30179026,5103-452-021,MOTION INDUSTRIES INC,NORM,A,2168818,30,2,682,1,null,332.88,4/15/2021,4/6/2021,ID3,null,null,null,null,null,R,Need 5103-751-016 wo# 11256423 40 PCS 855/300/BO/300,null
+,3/5/2021,30188157,5130-273-034,ALTRA INDUSTRIAL MOTION TAIWAN,NORM,A,2152504,20,1,684,1,null,776.35,4/6/2021,4/6/2021,IDF,null,null,null,null,null,K,Kanban @ 684,"3/10 Shortages:  5319-631-005  wo# 11259311 19 PCS @ 633
                                  5103-451-007 wo# 11269861 49 PCS @ 633
3/17: 800-0135 to stock; released 5319-631-005
3/18: 5103-451-007 to stock
3/23: 5319-631-005 to stock"
+,4/6/2021,30188200,5151-541-004,RAM MANUFACTURING LTD,NORM,A,2168870,10,2,170,7,null,261.03,4/20/2021,4/6/2021,ID4,null,null,null,null,null,Y,WO# 11303669 30 PCS ,null
+,4/5/2021,30188228,5154-170-001,KAMAN INDUSTRIAL TECH,NORM,A,2168234,10,2,170,1,null,738.25,4/12/2021,4/6/2021,ID4,null,null,null,null,null,P,Need 5154-445-003 50PCS @ QC,null
+,4/5/2021,30188228,5154-170-001,MOTION INDUSTRIES INC,NORM,A,2167989,40,2,170,1,null,738.25,4/12/2021,4/6/2021,ID4,null,null,null,null,null,P,Need 5154-445-003 50PCS @ QC,null
+,4/7/2021,30188229,5154-170-002,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2169478,20,2,170,2,null,1476.5,4/14/2021,4/6/2021,ID4,null,null,null,null,null,P,Need 5154-445-003 PO 250 PCS Due 3/26 (4/19)(75 due 4/16),null
+,4/5/2021,30189025,5301-749-001,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2168244,10,2,683,1,null,161.18,7/28/2021,4/6/2021,ID3,null,null,null,null,null,Y,WO# 11205890 40 PCS @ Herker due 4/19,null
+,4/5/2021,30189299,5370-169-248,ISC COMPANIES,NORM,A,2167947,10,2,681,5,null,2699.5,5/3/2021,4/6/2021,ID4,110-0331,None,None,258-1226,None,Y,WO# 11307475 3PC; 11307476 2PCS,null
+,3/31/2021,30189401,5370-273-204,ALTRA INDUSTRIAL MOTION TAIWAN,NORM,A,2166190,10,2,681,5,5,2726.1,4/8/2021,4/6/2021,IDG,110-0331,"800-0371
5370-451-204","800-0375
5370-631-204",258-1225,None,G,Shipper printed 4/14,null
+,4/5/2021,30189848,5384-170-002,MOTION INDUSTRIES INC,NORM,A,2168397,10,2,682,1,null,1926.42,5/12/2021,4/6/2021,ID3,null,null,null,null,null,"P
R","Need 5384-631-012  PO 4500818938 4 PCS Due 5/7
Need 5385-757-001 wo# 11303664 5 PCS @ 682",null
+,4/7/2021,30178756,180-0017,MOTION INDUSTRIES INC,NORM,A,2169726,11,2,null,1,1,35.06,4/28/2021,4/7/2021,ID9,null,null,null,null,null,G,"Not pulled, need line 14",null
+,4/6/2021,30178758,180-0026,VARICRAFT DE MEXICO SA DE CV,NORM,D,2169137,10,2,null,1,1,81.71,5/13/2021,4/7/2021,ID9,null,null,null,null,null,G,"Ship compllete, need line 30",null
+,4/6/2021,30179073,5125-541-003,MOTION INDUSTRIES INC,NORM,A,2169184,10,2,634,1,null,101.36,4/20/2021,4/7/2021,ID3,null,null,null,null,null,Y,WO# 11305422 10 PCS @ 634,null
+,4/6/2021,30179077,5200-101-010,KAMAN INDUSTRIAL TECH,NORM,A,2169232,14,2,600,6,6,224.7,5/18/2021,4/7/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 13",null
+,4/6/2021,30179077,5200-101-010,KAMAN INDUSTRIAL TECH,NORM,A,2169232,25,2,600,6,6,224.7,4/27/2021,4/7/2021,ID3,null,null,null,null,null,G,Complete 4/19,null
+,4/7/2021,30179079,5200-101-012,MOTION INDUSTRIES INC,NORM,A,2169726,15,2,600,1,1,38.52,4/28/2021,4/7/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14",null
+,4/6/2021,30179093,5200-452-029,KAMAN INDUSTRIAL TECH,NORM,A,2169232,13,2,682,6,null,3940.26,5/18/2021,4/7/2021,ID3,null,null,null,null,null,R,Need 5200-451-027-/-5200-800-001 wo# 11305426 28 PCS @ 633/687/35,null
+,4/6/2021,30179101,5200-541-006,KAMAN INDUSTRIAL TECH,NORM,A,2169232,12,2,683,6,6,891.42,5/18/2021,4/7/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 13",null
+,4/6/2021,30179101,5200-541-006,KAMAN INDUSTRIAL TECH,NORM,A,2169232,23,2,683,6,6,891.42,4/27/2021,4/7/2021,ID3,null,null,null,null,null,G,Complete 4/19,null
+,4/7/2021,30179105,5201-101-008,MOTION INDUSTRIES INC,NORM,A,2169726,13,2,600,3,3,61.83,4/28/2021,4/7/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14",null
+,4/7/2021,30179110,5201-452-006,MOTION INDUSTRIES INC,NORM,A,2169726,14,2,682,1,null,1141.44,4/28/2021,4/7/2021,ID3,null,null,null,null,null,R,Need 5201-451-057 wo# 11305428 20 PCS @ 683/633,null
+,4/1/2021,30179148,5207-541-002,CENTURY TECH INC,NORM,A,2166953,10,2,202,4,null,490.28,4/16/2021,4/7/2021,ID3,null,null,null,null,null,Y,WO# 11273817 10 PCS @ 202/634,null
+,4/6/2021,30179162,5230-111-002,KAMAN INDUSTRIAL TECH,NORM,A,2169232,11,2,634,6,6,813.72,5/18/2021,4/7/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 13",null
+,4/6/2021,30179162,5230-111-002,KAMAN INDUSTRIAL TECH,NORM,A,2169232,22,2,634,6,6,813.72,4/27/2021,4/7/2021,ID3,null,null,null,null,null,G,Complete 4/19,null
+,4/1/2021,30179176,5281-111-002,CENTURY TECH INC,NORM,A,2166953,20,2,634,4,null,336.32,4/16/2021,4/7/2021,ID3,null,null,null,null,null,Y,WO# 11305707 40 PCS @ 634,null
+,4/6/2021,30179179,5300-101-008,KAMAN INDUSTRIAL TECH,NORM,A,2169232,24,2,600,6,6,56.4,4/27/2021,4/7/2021,ID3,null,null,null,null,null,G,Complete 4/19,null
+,4/6/2021,30179195,5300-631-011,CHICAGO CHAIN & TRANSMISSION,NORM,A,2169122,20,2,633,1,1,331.27,4/20/2021,4/7/2021,ID3,null,null,null,null,null,G,Shipper printed 4/19,null
+,4/6/2021,30179195,5300-631-011,KAMAN INDUSTRIAL TECH,NORM,A,2169232,21,2,633,6,6,1813.74,4/27/2021,4/7/2021,ID3,null,null,null,null,null,G,Complete 4/19,null
+,3/10/2021,30179075,5181-101-010,BDI,NORM,A,2155174,15,2,600,4,null,47.68,4/22/2021,4/13/2021,ID3,null,null,null,null,null,Y,WO# 11313586 60 PCS @ 600,null
+,4/7/2021,30179203,5301-111-018,MOTION INDUSTRIES INC,NORM,A,2169726,12,2,634,1,1,189.39,4/28/2021,4/7/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14",null
+,4/6/2021,30179273,540-0062,VARICRAFT DE MEXICO SA DE CV,NORM,D,2169137,30,2,683,1,null,257.17,5/13/2021,4/7/2021,ID3,null,null,null,null,null,Y,WO# 11305431 20 PCS @ 683/475/683/475/Nitrotech,null
+,4/6/2021,30179330,748-0007,VARICRAFT DE MEXICO SA DE CV,NORM,D,2169137,20,2,null,1,1,5.54,5/13/2021,4/7/2021,ID9,null,null,null,null,null,G,"Ship compllete, need line 30",null
+,4/6/2021,30183193,104-0009,VARICRAFT DE MEXICO SA DE CV,NORM,D,2169137,50,2,202,1,1,219.78,5/13/2021,4/7/2021,ID3,null,null,null,null,null,G,"Ship compllete, need line 30",null
+,4/6/2021,30188200,5151-541-004,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2169220,10,2,170,2,null,90.72,4/20/2021,4/7/2021,ID4,null,null,null,null,null,Y,WO# 11303669 30 PCS ,null
+,4/6/2021,30188304,5161-271-011,WAJAX INDUSTRIAL COMPONENTS,NORM,A,2169216,10,2,682,1,null,953.98,7/12/2021,4/7/2021,ID3,null,null,null,null,null,"P
R",Need 5161-111-001-/-540-0907-/-258-1169 PO 120 PCS Due 4/22,null
+,4/6/2021,30189127,5322-111-036,VARICRAFT DE MEXICO SA DE CV,NORM,D,2169137,40,2,634,2,2,496.86,5/13/2021,4/7/2021,ID3,null,null,null,null,null,G,"Ship compllete, need line 30",null
+,4/6/2021,30189289,5370-169-225,QUEEN CITY SUPPLY CO,NORM,A,2168764,10,2,681,3,null,1432.32,5/4/2021,4/7/2021,ID4,110-0331,None,"800-0375
5370-631-204",258-1225,None,Y,WO# 11305514 3 PC,null
+,4/7/2021,30189298,5370-169-244,MOTION INDUSTRIES INC,NORM,A,2169691,30,2,681,1,null,864.16,4/21/2021,4/7/2021,ID4,110-0332,None,None,258-1226,None,Y,WO# 11305515 2 PCS,null
+,4/6/2021,30189322,5370-169-288,MOTION INDUSTRIES INC,NORM,A,2168848,130,2,681,1,null,831.79,4/13/2021,4/7/2021,IDG,110-0332,None,None,258-1226,None,K,Kanban @ 681,null
+,4/7/2021,30189338,5370-170-206,APPLIED INDUSTRIAL TECH,NORM,A,2169487,10,2,681,1,null,543.36,4/28/2021,4/7/2021,ID4,null,null,null,null,null,R,"WO# 11305523 1 PC
Need 5155-170-002-/-807-1073 wo@ 11279804 108 PCS @ 683",null
+,4/7/2021,30189379,5370-271-209,BDI,NORM,A,2169780,80,2,681,1,null,875.5,4/14/2021,4/7/2021,ID4,110-0332,"800-0372 
5370-451-209",None,258-1223,258-1226,Y,WO# 11305524 1 PC,null
+,4/7/2021,30189381,5370-271-214,BDI,NORM,A,2169780,90,2,681,1,null,875.5,4/14/2021,4/7/2021,ID4,110-0332,"800-0372
5370-451-209",None,258-1223,258-1226,Y,WO# 11305528 1 PC,null
+,4/7/2021,30189395,5370-273-117,BDI,NORM,A,2169780,50,2,681,3,null,4014.6,5/5/2021,4/7/2021,ID4,110-0332,None,None,None,None,"R
WD","WO# 11305534 3 PCS
Need 5370-451-087-/-5370-800-021-/-5370-800-020 wo# 11305531 20 PCS @ 635/braze
Need 540-1642 wo# 11281280 60 PCS @ 683/475",null
+,4/6/2021,30189401,5370-273-204,MOTION INDUSTRIES INC,NORM,A,2168848,10,2,681,5,null,2823.55,4/13/2021,4/7/2021,IDG,110-0331,"800-0371
5370-451-204","800-0375
5370-631-204",258-1225,None,K,Kanban @ 681,null
+,4/6/2021,30189418,5370-273-235,MOTION INDUSTRIES INC,NORM,A,2169174,10,2,681,2,null,2451.66,4/13/2021,4/7/2021,IDG,110-0332,"800-0374
5370-451-219","800-0376
5370-631-219",258-1224,258-1225,K,Kanban @ 681,null
+,4/6/2021,30189641,5371-170-047,MECHANICAL DRIVES & BELTING,NORM,A,2169206,10,2,681,1,null,1373.62,3/21/2025,4/7/2021,ID4,None,None,None,None,None,R,"WO# 11305537 1 PC
Need 5154-170-001-/-5154-445-003  PO 250 PCS Due 3/26 (4/19)     GLFP   sent to great lakes 3/31",null
+,4/6/2021,30189663,5371-273-003,MOTION INDUSTRIES INC,NORM,A,2168848,120,2,681,1,null,1859.3,4/13/2021,4/7/2021,IDG,110-0333,None,None,None,None,K,Kanban @ 681,null
+,4/7/2021,30189760,5380-101-005,BERBOUR EQUIPMENT INC,NORM,A,2169884,10,2,600,1,null,207.34,3/24/2025,4/7/2021,ID3,null,null,null,null,null,Y,WO# 11305540 3 PCS @ 600,null
+,4/6/2021,30189798,5381-170-002,MOTION INDUSTRIES INC,NORM,A,2168848,20,2,682,3,null,1716.93,4/20/2021,4/7/2021,ID3,null,null,null,null,null,R,Need 540-0524 wo# 11288173 30 PCS @ 683,null
